10,8,12,7,16,4,8,10.3,1.41,
3,7,11,2,4,0,3,9,2.66667,
3,4,7,19,21,0,3,5.33333,1.55556,
1,17,17,4,4,0,1,17,0,
5,12,20,12,17,0,4,15.8,6.56,
4,7,10,2,5,0,4,8.5,1.25,
3,12,12,14,16,0,1,12,0,
3,10,12,18,20,0,3,11.3333,0.888889,
4,6,10,19,22,2,4,7.75,2.1875,
7,3,16,8,17,0,7,10,20,
1,0,0,18,18,0,1,0,0,
1,0,0,21,21,0,1,0,0,
5,4,9,3,7,0,4,6.4,5.04,
6,10,15,6,12,0,5,12.1667,3.80556,
7,10,13,5,11,0,4,11.5714,0.816327,
3,1,10,7,17,0,3,4.66667,14.8889,
3,0,18,0,20,0,3,9,54,
4,4,13,18,23,0,4,9.5,11.25,
6,13,16,7,14,2,4,15,1,
2,2,7,21,22,0,2,4.5,6.25,
1,10,10,18,18,0,1,10,0,
2,14,18,8,14,0,2,16,4,
4,2,5,0,23,0,3,4.25,1.6875,
5,2,7,0,23,0,4,3.6,3.44,
2,6,8,6,7,0,2,7,1,
5,5,11,0,4,0,5,8.8,5.76,
5,5,18,15,20,0,4,8.8,24.56,
1,11,11,18,18,0,1,11,0,
1,7,7,10,10,0,1,7,0,
9,1,22,0,23,0,7,10.6667,50,
1,5,5,13,13,0,1,5,0,
6,2,11,5,10,0,5,6,10.3333,
5,6,8,5,10,0,2,6.8,0.96,
1,7,7,15,15,0,1,7,0,
7,2,13,10,19,4,6,5.28571,12.4898,
7,6,21,1,9,0,7,13,20,
10,1,15,8,19,0,9,6.5,23.65,
3,10,13,0,23,0,3,11.6667,1.55556,
2,6,18,7,17,0,2,12,36,
9,0,13,7,18,0,8,5.22222,17.9506,
1,0,0,18,18,0,1,0,0,
5,0,13,7,18,0,5,8,23.6,
5,3,7,19,23,0,4,4.4,2.24,
4,9,12,12,15,1,3,10.25,1.6875,
6,6,13,3,9,0,5,8.83333,6.47222,
2,4,7,0,1,0,2,5.5,2.25,
3,5,10,19,23,0,3,7.33333,4.22222,
3,15,18,15,17,0,2,16,2,
4,5,9,0,22,0,4,7.25,2.1875,
2,9,10,9,10,0,2,9.5,0.25,
7,0,7,0,22,2,5,4.85714,5.55102,
2,3,9,16,17,0,2,6,9,
1,7,7,0,0,0,1,7,0,
4,14,20,12,18,0,3,16,5.5,
1,4,4,21,21,0,1,4,0,
1,4,4,1,1,0,1,4,0,
5,3,5,10,14,2,3,4,0.8,
3,8,13,1,3,0,3,11,4.66667,
3,2,5,20,22,0,3,3.33333,1.55556,
8,3,18,4,16,0,5,12.375,36.2344,
5,6,18,0,23,0,4,9.8,19.76,
1,8,8,8,8,0,1,8,0,
2,9,12,4,5,0,2,10.5,2.25,
2,13,15,18,19,0,2,14,1,
2,7,11,2,5,0,2,9,4,
6,5,12,0,6,0,6,8.5,6.25,
1,23,23,18,18,0,1,23,0,
1,15,15,23,23,0,1,15,0,
8,0,15,1,23,0,5,3.75,27.6875,
6,3,18,0,22,0,6,8.83333,32.4722,
5,0,10,18,23,0,5,5.2,14.96,
1,2,2,2,2,0,1,2,0,
1,17,17,21,21,0,1,17,0,
10,8,12,7,16,4,8,10.3,1.41,
3,7,11,2,4,0,3,9,2.66667,
3,4,7,19,21,0,3,5.33333,1.55556,
1,17,17,4,4,0,1,17,0,
5,12,20,12,17,0,4,15.8,6.56,
4,7,10,2,5,0,4,8.5,1.25,
3,12,12,14,16,0,1,12,0,
3,10,12,18,20,0,3,11.3333,0.888889,
4,6,10,19,22,2,4,7.75,2.1875,
7,3,16,8,17,0,7,10,20,
1,0,0,18,18,0,1,0,0,
1,0,0,21,21,0,1,0,0,
5,4,9,3,7,0,4,6.4,5.04,
6,10,15,6,12,0,5,12.1667,3.80556,
7,10,13,5,11,0,4,11.5714,0.816327,
3,1,10,7,17,0,3,4.66667,14.8889,
3,0,18,0,20,0,3,9,54,
4,4,13,18,23,0,4,9.5,11.25,
6,13,16,7,14,2,4,15,1,
2,2,7,21,22,0,2,4.5,6.25,
1,10,10,18,18,0,1,10,0,
2,14,18,8,14,0,2,16,4,
4,2,5,0,23,0,3,4.25,1.6875,
5,2,7,0,23,0,4,3.6,3.44,
2,6,8,6,7,0,2,7,1,
5,5,11,0,4,0,5,8.8,5.76,
5,5,18,15,20,0,4,8.8,24.56,
1,11,11,18,18,0,1,11,0,
1,7,7,10,10,0,1,7,0,
9,1,22,0,23,0,7,10.6667,50,
1,5,5,13,13,0,1,5,0,
6,2,11,5,10,0,5,6,10.3333,
5,6,8,5,10,0,2,6.8,0.96,
1,7,7,15,15,0,1,7,0,
7,2,13,10,19,4,6,5.28571,12.4898,
7,6,21,1,9,0,7,13,20,
10,1,15,8,19,0,9,6.5,23.65,
3,10,13,0,23,0,3,11.6667,1.55556,
2,6,18,7,17,0,2,12,36,
9,0,13,7,18,0,8,5.22222,17.9506,
1,0,0,18,18,0,1,0,0,
5,0,13,7,18,0,5,8,23.6,
5,3,7,19,23,0,4,4.4,2.24,
4,9,12,12,15,1,3,10.25,1.6875,
6,6,13,3,9,0,5,8.83333,6.47222,
2,4,7,0,1,0,2,5.5,2.25,
3,5,10,19,23,0,3,7.33333,4.22222,
3,15,18,15,17,0,2,16,2,
4,5,9,0,22,0,4,7.25,2.1875,
2,9,10,9,10,0,2,9.5,0.25,
7,0,7,0,22,2,5,4.85714,5.55102,
2,3,9,16,17,0,2,6,9,
1,7,7,0,0,0,1,7,0,
4,14,20,12,18,0,3,16,5.5,
1,4,4,21,21,0,1,4,0,
1,4,4,1,1,0,1,4,0,
5,3,5,10,14,2,3,4,0.8,
3,8,13,1,3,0,3,11,4.66667,
3,2,5,20,22,0,3,3.33333,1.55556,
8,3,18,4,16,0,5,12.375,36.2344,
5,6,18,0,23,0,4,9.8,19.76,
1,8,8,8,8,0,1,8,0,
2,9,12,4,5,0,2,10.5,2.25,
2,13,15,18,19,0,2,14,1,
2,7,11,2,5,0,2,9,4,
6,5,12,0,6,0,6,8.5,6.25,
1,23,23,18,18,0,1,23,0,
1,15,15,23,23,0,1,15,0,
8,0,15,1,23,0,5,3.75,27.6875,
6,3,18,0,22,0,6,8.83333,32.4722,
5,0,10,18,23,0,5,5.2,14.96,
1,2,2,2,2,0,1,2,0,
1,17,17,21,21,0,1,17,0,
10,8,12,7,16,4,8,10.3,1.41,
3,7,11,2,4,0,3,9,2.66667,
3,4,7,19,21,0,3,5.33333,1.55556,
1,17,17,4,4,0,1,17,0,
5,12,20,12,17,0,4,15.8,6.56,
4,7,10,2,5,0,4,8.5,1.25,
3,12,12,14,16,0,1,12,0,
3,10,12,18,20,0,3,11.3333,0.888889,
4,6,10,19,22,2,4,7.75,2.1875,
7,3,16,8,17,0,7,10,20,
1,0,0,18,18,0,1,0,0,
1,0,0,21,21,0,1,0,0,
5,4,9,3,7,0,4,6.4,5.04,
6,10,15,6,12,0,5,12.1667,3.80556,
7,10,13,5,11,0,4,11.5714,0.816327,
3,1,10,7,17,0,3,4.66667,14.8889,
3,0,18,0,20,0,3,9,54,
4,4,13,18,23,0,4,9.5,11.25,
6,13,16,7,14,2,4,15,1,
2,2,7,21,22,0,2,4.5,6.25,
1,10,10,18,18,0,1,10,0,
2,14,18,8,14,0,2,16,4,
4,2,5,0,23,0,3,4.25,1.6875,
5,2,7,0,23,0,4,3.6,3.44,
2,6,8,6,7,0,2,7,1,
5,5,11,0,4,0,5,8.8,5.76,
5,5,18,15,20,0,4,8.8,24.56,
1,11,11,18,18,0,1,11,0,
1,7,7,10,10,0,1,7,0,
9,1,22,0,23,0,7,10.6667,50,
1,5,5,13,13,0,1,5,0,
6,2,11,5,10,0,5,6,10.3333,
5,6,8,5,10,0,2,6.8,0.96,
1,7,7,15,15,0,1,7,0,
7,2,13,10,19,4,6,5.28571,12.4898,
7,6,21,1,9,0,7,13,20,
3,10,13,0,23,0,3,11.6667,1.55556,
2,6,18,7,17,0,2,12,36,
9,0,13,7,18,0,8,5.22222,17.9506,
1,0,0,18,18,0,1,0,0,
5,0,13,7,18,0,5,8,23.6,
5,3,7,19,23,0,4,4.4,2.24,
4,9,12,12,15,1,3,10.25,1.6875,
6,6,13,3,9,0,5,8.83333,6.47222,
2,4,7,0,1,0,2,5.5,2.25,
3,5,10,19,23,0,3,7.33333,4.22222,
3,15,18,15,17,0,2,16,2,
4,5,9,0,22,0,4,7.25,2.1875,
2,9,10,9,10,0,2,9.5,0.25,
7,0,7,0,22,2,5,4.85714,5.55102,
2,3,9,16,17,0,2,6,9,
1,7,7,0,0,0,1,7,0,
4,14,20,12,18,0,3,16,5.5,
1,4,4,21,21,0,1,4,0,
1,4,4,1,1,0,1,4,0,
5,3,5,10,14,2,3,4,0.8,
3,8,13,1,3,0,3,11,4.66667,
3,2,5,20,22,0,3,3.33333,1.55556,
8,3,18,4,16,0,5,12.375,36.2344,
5,6,18,0,23,0,4,9.8,19.76,
1,8,8,8,8,0,1,8,0,
2,9,12,4,5,0,2,10.5,2.25,
2,13,15,18,19,0,2,14,1,
2,7,11,2,5,0,2,9,4,
6,5,12,0,6,0,6,8.5,6.25,
1,23,23,18,18,0,1,23,0,
1,15,15,23,23,0,1,15,0,
8,0,15,1,23,0,5,3.75,27.6875,
6,3,18,0,22,0,6,8.83333,32.4722,
5,0,10,18,23,0,5,5.2,14.96,
1,2,2,2,2,0,1,2,0,
1,17,17,21,21,0,1,17,0,
10,8,12,7,16,4,8,10.3,1.41,
3,7,11,2,4,0,3,9,2.66667,
3,4,7,19,21,0,3,5.33333,1.55556,
1,17,17,4,4,0,1,17,0,
5,12,20,12,17,0,4,15.8,6.56,
4,7,10,2,5,0,4,8.5,1.25,
3,12,12,14,16,0,1,12,0,
3,10,12,18,20,0,3,11.3333,0.888889,
4,6,10,19,22,2,4,7.75,2.1875,
7,3,16,8,17,0,7,10,20,
1,0,0,18,18,0,1,0,0,
1,0,0,21,21,0,1,0,0,
5,4,9,3,7,0,4,6.4,5.04,
6,10,15,6,12,0,5,12.1667,3.80556,
7,10,13,5,11,0,4,11.5714,0.816327,
3,1,10,7,17,0,3,4.66667,14.8889,
3,0,18,0,20,0,3,9,54,
4,4,13,18,23,0,4,9.5,11.25,
6,13,16,7,14,2,4,15,1,
2,2,7,21,22,0,2,4.5,6.25,
1,10,10,18,18,0,1,10,0,
2,14,18,8,14,0,2,16,4,
4,2,5,0,23,0,3,4.25,1.6875,
5,2,7,0,23,0,4,3.6,3.44,
2,6,8,6,7,0,2,7,1,
5,5,11,0,4,0,5,8.8,5.76,
5,5,18,15,20,0,4,8.8,24.56,
1,11,11,18,18,0,1,11,0,
1,7,7,10,10,0,1,7,0,
9,1,22,0,23,0,7,10.6667,50,
1,5,5,13,13,0,1,5,0,
6,2,11,5,10,0,5,6,10.3333,
5,6,8,5,10,0,2,6.8,0.96,
1,7,7,15,15,0,1,7,0,
7,2,13,10,19,4,6,5.28571,12.4898,
7,6,21,1,9,0,7,13,20,
3,10,13,0,23,0,3,11.6667,1.55556,
2,6,18,7,17,0,2,12,36,
9,0,13,7,18,0,8,5.22222,17.9506,
1,0,0,18,18,0,1,0,0,
5,0,13,7,18,0,5,8,23.6,
5,3,7,19,23,0,4,4.4,2.24,
4,9,12,12,15,1,3,10.25,1.6875,
6,6,13,3,9,0,5,8.83333,6.47222,
2,4,7,0,1,0,2,5.5,2.25,
3,5,10,19,23,0,3,7.33333,4.22222,
3,15,18,15,17,0,2,16,2,
4,5,9,0,22,0,4,7.25,2.1875,
2,9,10,9,10,0,2,9.5,0.25,
7,0,7,0,22,2,5,4.85714,5.55102,
2,3,9,16,17,0,2,6,9,
1,7,7,0,0,0,1,7,0,
4,14,20,12,18,0,3,16,5.5,
1,4,4,21,21,0,1,4,0,
1,4,4,1,1,0,1,4,0,
5,3,5,10,14,2,3,4,0.8,
3,8,13,1,3,0,3,11,4.66667,
3,2,5,20,22,0,3,3.33333,1.55556,
8,3,18,4,16,0,5,12.375,36.2344,
5,6,18,0,23,0,4,9.8,19.76,
1,8,8,8,8,0,1,8,0,
2,9,12,4,5,0,2,10.5,2.25,
2,13,15,18,19,0,2,14,1,
2,7,11,2,5,0,2,9,4,
6,5,12,0,6,0,6,8.5,6.25,
1,23,23,18,18,0,1,23,0,
1,15,15,23,23,0,1,15,0,
8,0,15,1,23,0,5,3.75,27.6875,
6,3,18,0,22,0,6,8.83333,32.4722,
5,0,10,18,23,0,5,5.2,14.96,
1,2,2,2,2,0,1,2,0,
1,17,17,21,21,0,1,17,0,
10,8,12,7,16,4,8,10.3,1.41,
3,7,11,2,4,0,3,9,2.66667,
3,4,7,19,21,0,3,5.33333,1.55556,
1,17,17,4,4,0,1,17,0,
5,12,20,12,17,0,4,15.8,6.56,
4,7,10,2,5,0,4,8.5,1.25,
3,12,12,14,16,0,1,12,0,
3,10,12,18,20,0,3,11.3333,0.888889,
4,6,10,19,22,2,4,7.75,2.1875,
7,3,16,8,17,0,7,10,20,
1,0,0,18,18,0,1,0,0,
1,0,0,21,21,0,1,0,0,
5,4,9,3,7,0,4,6.4,5.04,
6,10,15,6,12,0,5,12.1667,3.80556,
7,10,13,5,11,0,4,11.5714,0.816327,
3,1,10,7,17,0,3,4.66667,14.8889,
3,0,18,0,20,0,3,9,54,
4,4,13,18,23,0,4,9.5,11.25,
6,13,16,7,14,2,4,15,1,
2,2,7,21,22,0,2,4.5,6.25,
1,10,10,18,18,0,1,10,0,
2,14,18,8,14,0,2,16,4,
4,2,5,0,23,0,3,4.25,1.6875,
5,2,7,0,23,0,4,3.6,3.44,
2,6,8,6,7,0,2,7,1,
5,5,11,0,4,0,5,8.8,5.76,
5,5,18,15,20,0,4,8.8,24.56,
1,11,11,18,18,0,1,11,0,
1,7,7,10,10,0,1,7,0,
9,1,22,0,23,0,7,10.6667,50,
1,5,5,13,13,0,1,5,0,
6,2,11,5,10,0,5,6,10.3333,
5,6,8,5,10,0,2,6.8,0.96,
1,7,7,15,15,0,1,7,0,
7,2,13,10,19,4,6,5.28571,12.4898,
7,6,21,1,9,0,7,13,20,
3,10,13,0,23,0,3,11.6667,1.55556,
2,6,18,7,17,0,2,12,36,
9,0,13,7,18,0,8,5.22222,17.9506,
1,0,0,18,18,0,1,0,0,
5,0,13,7,18,0,5,8,23.6,
5,3,7,19,23,0,4,4.4,2.24,
4,9,12,12,15,1,3,10.25,1.6875,
6,6,13,3,9,0,5,8.83333,6.47222,
2,4,7,0,1,0,2,5.5,2.25,
3,5,10,19,23,0,3,7.33333,4.22222,
3,15,18,15,17,0,2,16,2,
4,5,9,0,22,0,4,7.25,2.1875,
2,9,10,9,10,0,2,9.5,0.25,
7,0,7,0,22,2,5,4.85714,5.55102,
2,3,9,16,17,0,2,6,9,
1,7,7,0,0,0,1,7,0,
4,14,20,12,18,0,3,16,5.5,
1,4,4,21,21,0,1,4,0,
1,4,4,1,1,0,1,4,0,
5,3,5,10,14,2,3,4,0.8,
3,8,13,1,3,0,3,11,4.66667,
3,2,5,20,22,0,3,3.33333,1.55556,
8,3,18,4,16,0,5,12.375,36.2344,
5,6,18,0,23,0,4,9.8,19.76,
1,8,8,8,8,0,1,8,0,
2,9,12,4,5,0,2,10.5,2.25,
2,13,15,18,19,0,2,14,1,
2,7,11,2,5,0,2,9,4,
6,5,12,0,6,0,6,8.5,6.25,
1,23,23,18,18,0,1,23,0,
1,15,15,23,23,0,1,15,0,
8,0,15,1,23,0,5,3.75,27.6875,
6,3,18,0,22,0,6,8.83333,32.4722,
5,0,10,18,23,0,5,5.2,14.96,
1,2,2,2,2,0,1,2,0,
1,17,17,21,21,0,1,17,0,
10,8,12,7,16,4,8,10.3,1.41,
3,7,11,2,4,0,3,9,2.66667,
3,4,7,19,21,0,3,5.33333,1.55556,
1,17,17,4,4,0,1,17,0,
5,12,20,12,17,0,4,15.8,6.56,
4,7,10,2,5,0,4,8.5,1.25,
3,12,12,14,16,0,1,12,0,
3,10,12,18,20,0,3,11.3333,0.888889,
4,6,10,19,22,2,4,7.75,2.1875,
7,3,16,8,17,0,7,10,20,
1,0,0,18,18,0,1,0,0,
1,0,0,21,21,0,1,0,0,
5,4,9,3,7,0,4,6.4,5.04,
6,10,15,6,12,0,5,12.1667,3.80556,
7,10,13,5,11,0,4,11.5714,0.816327,
3,1,10,7,17,0,3,4.66667,14.8889,
3,0,18,0,20,0,3,9,54,
4,4,13,18,23,0,4,9.5,11.25,
6,13,16,7,14,2,4,15,1,
2,2,7,21,22,0,2,4.5,6.25,
1,10,10,18,18,0,1,10,0,
2,14,18,8,14,0,2,16,4,
4,2,5,0,23,0,3,4.25,1.6875,
5,2,7,0,23,0,4,3.6,3.44,
2,6,8,6,7,0,2,7,1,
5,5,11,0,4,0,5,8.8,5.76,
5,5,18,15,20,0,4,8.8,24.56,
1,11,11,18,18,0,1,11,0,
1,7,7,10,10,0,1,7,0,
9,1,22,0,23,0,7,10.6667,50,
1,5,5,13,13,0,1,5,0,
6,2,11,5,10,0,5,6,10.3333,
5,6,8,5,10,0,2,6.8,0.96,
1,7,7,15,15,0,1,7,0,
7,2,13,10,19,4,6,5.28571,12.4898,
7,6,21,1,9,0,7,13,20,
3,10,13,0,23,0,3,11.6667,1.55556,
2,6,18,7,17,0,2,12,36,
9,0,13,7,18,0,8,5.22222,17.9506,
1,0,0,18,18,0,1,0,0,
5,0,13,7,18,0,5,8,23.6,
5,3,7,19,23,0,4,4.4,2.24,
4,9,12,12,15,1,3,10.25,1.6875,
6,6,13,3,9,0,5,8.83333,6.47222,
2,4,7,0,1,0,2,5.5,2.25,
3,5,10,19,23,0,3,7.33333,4.22222,
3,15,18,15,17,0,2,16,2,
4,5,9,0,22,0,4,7.25,2.1875,
2,9,10,9,10,0,2,9.5,0.25,
7,0,7,0,22,2,5,4.85714,5.55102,
2,3,9,16,17,0,2,6,9,
1,7,7,0,0,0,1,7,0,
4,14,20,12,18,0,3,16,5.5,
1,4,4,21,21,0,1,4,0,
1,4,4,1,1,0,1,4,0,
5,3,5,10,14,2,3,4,0.8,
3,8,13,1,3,0,3,11,4.66667,
3,2,5,20,22,0,3,3.33333,1.55556,
8,3,18,4,16,0,5,12.375,36.2344,
5,6,18,0,23,0,4,9.8,19.76,
1,8,8,8,8,0,1,8,0,
2,9,12,4,5,0,2,10.5,2.25,
2,13,15,18,19,0,2,14,1,
2,7,11,2,5,0,2,9,4,
6,5,12,0,6,0,6,8.5,6.25,
1,23,23,18,18,0,1,23,0,
1,15,15,23,23,0,1,15,0,
8,0,15,1,23,0,5,3.75,27.6875,
6,3,18,0,22,0,6,8.83333,32.4722,
5,0,10,18,23,0,5,5.2,14.96,
1,2,2,2,2,0,1,2,0,
1,17,17,21,21,0,1,17,0,
10,8,12,7,16,4,8,10.3,1.41,
3,7,11,2,4,0,3,9,2.66667,
3,4,7,19,21,0,3,5.33333,1.55556,
1,17,17,4,4,0,1,17,0,
5,12,20,12,17,0,4,15.8,6.56,
4,7,10,2,5,0,4,8.5,1.25,
3,12,12,14,16,0,1,12,0,
3,10,12,18,20,0,3,11.3333,0.888889,
4,6,10,19,22,2,4,7.75,2.1875,
7,3,16,8,17,0,7,10,20,
1,0,0,18,18,0,1,0,0,
1,0,0,21,21,0,1,0,0,
5,4,9,3,7,0,4,6.4,5.04,
6,10,15,6,12,0,5,12.1667,3.80556,
7,10,13,5,11,0,4,11.5714,0.816327,
3,1,10,7,17,0,3,4.66667,14.8889,
3,0,18,0,20,0,3,9,54,
4,4,13,18,23,0,4,9.5,11.25,
6,13,16,7,14,2,4,15,1,
2,2,7,21,22,0,2,4.5,6.25,
1,10,10,18,18,0,1,10,0,
2,14,18,8,14,0,2,16,4,
4,2,5,0,23,0,3,4.25,1.6875,
5,2,7,0,23,0,4,3.6,3.44,
2,6,8,6,7,0,2,7,1,
5,5,11,0,4,0,5,8.8,5.76,
5,5,18,15,20,0,4,8.8,24.56,
1,11,11,18,18,0,1,11,0,
1,7,7,10,10,0,1,7,0,
9,1,22,0,23,0,7,10.6667,50,
1,5,5,13,13,0,1,5,0,
6,2,11,5,10,0,5,6,10.3333,
5,6,8,5,10,0,2,6.8,0.96,
1,7,7,15,15,0,1,7,0,
7,2,13,10,19,4,6,5.28571,12.4898,
7,6,21,1,9,0,7,13,20,
3,10,13,0,23,0,3,11.6667,1.55556,
2,6,18,7,17,0,2,12,36,
9,0,13,7,18,0,8,5.22222,17.9506,
1,0,0,18,18,0,1,0,0,
5,0,13,7,18,0,5,8,23.6,
5,3,7,19,23,0,4,4.4,2.24,
4,9,12,12,15,1,3,10.25,1.6875,
6,6,13,3,9,0,5,8.83333,6.47222,
2,4,7,0,1,0,2,5.5,2.25,
3,5,10,19,23,0,3,7.33333,4.22222,
3,15,18,15,17,0,2,16,2,
4,5,9,0,22,0,4,7.25,2.1875,
2,9,10,9,10,0,2,9.5,0.25,
7,0,7,0,22,2,5,4.85714,5.55102,
2,3,9,16,17,0,2,6,9,
1,7,7,0,0,0,1,7,0,
4,14,20,12,18,0,3,16,5.5,
1,4,4,21,21,0,1,4,0,
1,4,4,1,1,0,1,4,0,
5,3,5,10,14,2,3,4,0.8,
3,8,13,1,3,0,3,11,4.66667,
3,2,5,20,22,0,3,3.33333,1.55556,
8,3,18,4,16,0,5,12.375,36.2344,
5,6,18,0,23,0,4,9.8,19.76,
1,8,8,8,8,0,1,8,0,
2,9,12,4,5,0,2,10.5,2.25,
2,13,15,18,19,0,2,14,1,
2,7,11,2,5,0,2,9,4,
6,5,12,0,6,0,6,8.5,6.25,
1,23,23,18,18,0,1,23,0,
1,15,15,23,23,0,1,15,0,
8,0,15,1,23,0,5,3.75,27.6875,
6,3,18,0,22,0,6,8.83333,32.4722,
5,0,10,18,23,0,5,5.2,14.96,
1,2,2,2,2,0,1,2,0,
1,17,17,21,21,0,1,17,0,
10,8,12,7,16,4,8,10.3,1.41,
3,7,11,2,4,0,3,9,2.66667,
3,4,7,19,21,0,3,5.33333,1.55556,
1,17,17,4,4,0,1,17,0,
5,12,20,12,17,0,4,15.8,6.56,
4,7,10,2,5,0,4,8.5,1.25,
3,12,12,14,16,0,1,12,0,
3,10,12,18,20,0,3,11.3333,0.888889,
4,6,10,19,22,2,4,7.75,2.1875,
7,3,16,8,17,0,7,10,20,
1,0,0,18,18,0,1,0,0,
1,0,0,21,21,0,1,0,0,
5,4,9,3,7,0,4,6.4,5.04,
6,10,15,6,12,0,5,12.1667,3.80556,
7,10,13,5,11,0,4,11.5714,0.816327,
3,1,10,7,17,0,3,4.66667,14.8889,
3,0,18,0,20,0,3,9,54,
4,4,13,18,23,0,4,9.5,11.25,
6,13,16,7,14,2,4,15,1,
2,2,7,21,22,0,2,4.5,6.25,
1,10,10,18,18,0,1,10,0,
2,14,18,8,14,0,2,16,4,
4,2,5,0,23,0,3,4.25,1.6875,
5,2,7,0,23,0,4,3.6,3.44,
2,6,8,6,7,0,2,7,1,
5,5,11,0,4,0,5,8.8,5.76,
5,5,18,15,20,0,4,8.8,24.56,
1,11,11,18,18,0,1,11,0,
1,7,7,10,10,0,1,7,0,
9,1,22,0,23,0,7,10.6667,50,
1,5,5,13,13,0,1,5,0,
6,2,11,5,10,0,5,6,10.3333,
5,6,8,5,10,0,2,6.8,0.96,
1,7,7,15,15,0,1,7,0,
7,2,13,10,19,4,6,5.28571,12.4898,
7,6,21,1,9,0,7,13,20,
3,10,13,0,23,0,3,11.6667,1.55556,
2,6,18,7,17,0,2,12,36,
9,0,13,7,18,0,8,5.22222,17.9506,
1,0,0,18,18,0,1,0,0,
5,0,13,7,18,0,5,8,23.6,
5,3,7,19,23,0,4,4.4,2.24,
4,9,12,12,15,1,3,10.25,1.6875,
6,6,13,3,9,0,5,8.83333,6.47222,
2,4,7,0,1,0,2,5.5,2.25,
3,5,10,19,23,0,3,7.33333,4.22222,
3,15,18,15,17,0,2,16,2,
4,5,9,0,22,0,4,7.25,2.1875,
2,9,10,9,10,0,2,9.5,0.25,
7,0,7,0,22,2,5,4.85714,5.55102,
2,3,9,16,17,0,2,6,9,
1,7,7,0,0,0,1,7,0,
4,14,20,12,18,0,3,16,5.5,
1,4,4,21,21,0,1,4,0,
1,4,4,1,1,0,1,4,0,
5,3,5,10,14,2,3,4,0.8,
3,8,13,1,3,0,3,11,4.66667,
3,2,5,20,22,0,3,3.33333,1.55556,
8,3,18,4,16,0,5,12.375,36.2344,
5,6,18,0,23,0,4,9.8,19.76,
1,8,8,8,8,0,1,8,0,
2,9,12,4,5,0,2,10.5,2.25,
2,13,15,18,19,0,2,14,1,
2,7,11,2,5,0,2,9,4,
6,5,12,0,6,0,6,8.5,6.25,
1,23,23,18,18,0,1,23,0,
1,15,15,23,23,0,1,15,0,
8,0,15,1,23,0,5,3.75,27.6875,
6,3,18,0,22,0,6,8.83333,32.4722,
5,0,10,18,23,0,5,5.2,14.96,
1,2,2,2,2,0,1,2,0,
1,17,17,21,21,0,1,17,0,
10,8,12,7,16,4,8,10.3,1.41,
3,7,11,2,4,0,3,9,2.66667,
3,4,7,19,21,0,3,5.33333,1.55556,
1,17,17,4,4,0,1,17,0,
5,12,20,12,17,0,4,15.8,6.56,
4,7,10,2,5,0,4,8.5,1.25,
3,12,12,14,16,0,1,12,0,
3,10,12,18,20,0,3,11.3333,0.888889,
4,6,10,19,22,2,4,7.75,2.1875,
7,3,16,8,17,0,7,10,20,
1,0,0,18,18,0,1,0,0,
1,0,0,21,21,0,1,0,0,
5,4,9,3,7,0,4,6.4,5.04,
6,10,15,6,12,0,5,12.1667,3.80556,
7,10,13,5,11,0,4,11.5714,0.816327,
3,1,10,7,17,0,3,4.66667,14.8889,
3,0,18,0,20,0,3,9,54,
4,4,13,18,23,0,4,9.5,11.25,
6,13,16,7,14,2,4,15,1,
2,2,7,21,22,0,2,4.5,6.25,
1,10,10,18,18,0,1,10,0,
2,14,18,8,14,0,2,16,4,
4,2,5,0,23,0,3,4.25,1.6875,
5,2,7,0,23,0,4,3.6,3.44,
2,6,8,6,7,0,2,7,1,
5,5,11,0,4,0,5,8.8,5.76,
5,5,18,15,20,0,4,8.8,24.56,
1,11,11,18,18,0,1,11,0,
1,7,7,10,10,0,1,7,0,
9,1,22,0,23,0,7,10.6667,50,
1,5,5,13,13,0,1,5,0,
6,2,11,5,10,0,5,6,10.3333,
5,6,8,5,10,0,2,6.8,0.96,
1,7,7,15,15,0,1,7,0,
7,2,13,10,19,4,6,5.28571,12.4898,
7,6,21,1,9,0,7,13,20,
3,10,13,0,23,0,3,11.6667,1.55556,
2,6,18,7,17,0,2,12,36,
9,0,13,7,18,0,8,5.22222,17.9506,
1,0,0,18,18,0,1,0,0,
5,0,13,7,18,0,5,8,23.6,
5,3,7,19,23,0,4,4.4,2.24,
4,9,12,12,15,1,3,10.25,1.6875,
6,6,13,3,9,0,5,8.83333,6.47222,
2,4,7,0,1,0,2,5.5,2.25,
3,5,10,19,23,0,3,7.33333,4.22222,
3,15,18,15,17,0,2,16,2,
4,5,9,0,22,0,4,7.25,2.1875,
2,9,10,9,10,0,2,9.5,0.25,
7,0,7,0,22,2,5,4.85714,5.55102,
2,3,9,16,17,0,2,6,9,
1,7,7,0,0,0,1,7,0,
4,14,20,12,18,0,3,16,5.5,
1,4,4,21,21,0,1,4,0,
1,4,4,1,1,0,1,4,0,
5,3,5,10,14,2,3,4,0.8,
3,8,13,1,3,0,3,11,4.66667,
3,2,5,20,22,0,3,3.33333,1.55556,
8,3,18,4,16,0,5,12.375,36.2344,
5,6,18,0,23,0,4,9.8,19.76,
1,8,8,8,8,0,1,8,0,
2,9,12,4,5,0,2,10.5,2.25,
2,13,15,18,19,0,2,14,1,
2,7,11,2,5,0,2,9,4,
6,5,12,0,6,0,6,8.5,6.25,
1,23,23,18,18,0,1,23,0,
1,15,15,23,23,0,1,15,0,
